language,color_name,m_L,m_a,m_b,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,den,prob,m_R,m_G,m_B
English,light_green,77.4620204434211,-38.1979634026184,27.3348190001316,113.681251028510,-30.9277175371735,-3.61528476123526,-30.9277175371735,193.463046774498,-35.2007014606477,-3.61528476123526,-35.2007014606477,287.720636255124,0.000450458086211866,0.0313272877164056,131,209,139
English,light_grey,73.8809492704000,1.26528248956000,-2.44364430544000,98.7835739055364,-2.77018452115350,-2.24338746656842,-2.77018452115350,29.2163193026915,-16.2805581141533,-2.24338746656842,-16.2805581141533,50.7361278129590,0.00120618173192931,0.0103050288540808,182,181,186
English,lilac,61.2842288602150,29.4139527866344,-30.4899132834086,146.938660364203,-73.3352966174620,45.2554584397423,-73.3352966174620,286.317608832972,-210.936511266283,45.2554584397423,-210.936511266283,308.395126688679,0.000756267423691884,0.0383347073371805,174,131,202
English,lime_green,80.0066417900000,-38.8580302917692,51.7611235207692,66.4261051654242,-76.5018437579430,23.9795561544924,-76.5018437579430,358.304519322021,-150.609866707462,23.9795561544924,-150.609866707462,372.065596566390,0.000314375927877253,0.0107172300082440,155,216,97
English,magenta,45.1355379867213,59.5959856749180,-25.9146014295410,114.335901898943,33.0931474829304,-31.7293108234556,33.0931474829304,191.395894921532,-148.487477003870,-31.7293108234556,-148.487477003870,623.672748659392,0.000538629234785256,0.0251442704039571,179,55,151
English,maroon,23.6979438120513,30.6267334613846,6.05514261287180,110.337450416161,4.16406641252375,22.9059575131283,4.16406641252375,230.721929707396,-95.9100183592128,22.9059575131283,-95.9100183592128,186.125112961158,0.000680450072264513,0.0160758450123660,99,34,49
English,olive,47.0331528308696,-10.4728020040000,32.6360389976087,190.714639547020,-2.88482325806482,88.4969503905140,-2.88482325806482,56.5444047544351,-48.2374761741952,88.4969503905140,-48.2374761741952,313.524892474402,0.000439661681022940,0.00948062654575433,112,115,55
English,orange,61.5950224109678,32.4218549640215,49.3927941939785,61.6169812755077,-37.0195871220824,12.5946218740571,-37.0195871220824,222.121185437375,-37.4879861520895,12.5946218740571,-37.4879861520895,150.256090102114,0.000460634567286993,0.0383347073371805,220,124,61
English,peach,70.7713453365854,23.1189898319512,24.9198213173659,95.6775944360474,-94.2045418235977,14.6486642530204,-94.2045418235977,202.402408724617,-43.7319084023200,14.6486642530204,-43.7319084023200,208.129174266853,0.000702242239353251,0.0169002473206925,227,156,129
English,pink,63.4770352362163,48.5227537124440,-12.7578522299537,116.362565906650,-106.722794156728,11.7199647117857,-106.722794156728,336.766080075038,-179.621402361655,11.7199647117857,-179.621402361655,401.642854779447,0.000631217648700568,0.106760098928277,225,118,178
English,purple,36.0703404250001,41.8332250755138,-36.3964908716104,180.448951748880,28.9217722171995,-59.2406846226285,28.9217722171995,286.709705772192,-239.228541095098,-59.2406846226285,-239.228541095098,397.104745406627,0.000720222301809370,0.119538334707337,121,58,144
English,red,45.0017446292000,50.5524611900000,31.4149822069333,149.493485108908,-84.2449622869876,77.0760113531430,-84.2449622869876,664.568322316478,112.757467366059,77.0760113531430,112.757467366059,312.889879341323,0.000418529377641799,0.0309150865622424,189,62,57
English,salmon,63.5680958488235,40.1543779732353,25.8490614893235,96.2052488354906,-78.4061257850725,16.1738512668065,-78.4061257850725,244.786744182510,-4.24434012910298,16.1738512668065,-4.24434012910298,132.017761339799,0.000617613891877314,0.0140148392415499,231,123,110
English,tan,63.3654074600000,10.3859916364545,37.2710965159091,186.064774520854,-82.3364665463675,16.4003837916334,-82.3364665463675,119.600907523671,51.8375140576162,16.4003837916334,51.8375140576162,185.418515303242,0.000527356756016897,0.00906842539159110,191,145,87
English,teal,48.5020042805556,-22.0902816811667,-5.46798843219445,388.386845054360,-119.583893525638,18.3780294125228,-119.583893525638,116.628916203925,-49.1982813899689,18.3780294125228,-49.1982813899689,79.4664739253382,0.000788215657155229,0.0148392415498763,57,126,124
English,turquoise,68.5364409853000,-34.8936937180600,-5.98692412176000,230.892077303161,-140.489750270015,61.5478905988705,-140.489750270015,201.847805987817,-133.671774227030,61.5478905988705,-133.671774227030,197.700291362041,0.000721698384782959,0.0412201154163232,63,185,177
English,white,83.0002184880488,2.93832615387805,-1.94551272224390,526.487836504334,7.40304702101597,17.9310032368107,7.40304702101597,77.8108311294873,-73.7834460142304,17.9310032368107,-73.7834460142304,124.114496748722,0.000749206080056422,0.0169002473206925,211,205,210
English,yellow,81.5855379094544,-5.47199734605456,62.8797894731818,101.675437079203,-44.0672478120003,36.7299742659232,-44.0672478120003,120.169913879329,7.39634814286351,36.7299742659232,7.39634814286351,234.653292250096,0.000461732173189096,0.0453421269579555,227,203,78
